Date,Heure,Artiste,Titre,Année de la chanson,Sexe,Pays d’Origine
2012-07-20,17H46,David Guetta,Memories,2010,H,France
2012-07-20,17H50,Kenza Farah,Quelque Part,2012,F,France
2012-07-20,17H54,Usher,Scream,2012,H,USA
2012-07-20,17H57,Birdy,Skinny Love,2008,F,USA
2012-07-20,18H00,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-20,18H02,Flo Rida,Whistle,2012,H,USA
2012-07-20,18H10,Jennifer Lopez,Dance Again,2012,F,USA
2012-07-20,18H13,Youssoupha,Dreamin,2012,H,France
2012-07-20,18H29,Katy Perry,Part Of Me,2012,F,USA
2012-07-20,18H32,Daddy Yankee,Lovumba,2011,H,Porto Rico
2012-07-20,18H44,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-20,18H47,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-20,18H51,Adele,Set Fire To The Rain,2011,F,Angleterre
2012-07-20,19H00,Mika,Celebrate,2012,H,Angleterre
2012-07-20,19H03,Dry,Ma Melodie,2012,H,France
2012-07-20,19H06,Jack Holiday,Children 2012,2012,H,Suisse
2012-07-20,19H10,Jenifer,Sur Le Fil,2012,F,France
2012-07-20,19H17,Ellie Goulding,Lights,2011,F,Angleterre
2012-07-20,19H23,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-20,19H31,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-20,19H31,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-20,19H34,Maroon 5,Payphone,2012,Groupe,USA
2012-07-20,19H43,Matt Houston,Positif,2012,H,France
2012-07-20,19H51,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-20,19H54,Katy Perry,Hot N Cold,2008,F,USA
2012-07-20,19H58,Laza Morgan,One By One,2011,H,Jamaique
2012-07-20,19H58,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-20,20H13,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-20,21H23,Basto,I Rave You,2012,H,Belgique
2012-07-20,21H30,Khaled,C'est La Vie,2012,H,Algerie
2012-07-20,21H30,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-20,21H49,Maroon 5,Payphone,2012,Groupe,USA
2012-07-20,22H03,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-20,22H03,Will i Am,This Is Love,2012,H,USA
2012-07-20,22H10,Owl City,Good Time,2012,H,USA
2012-07-20,22H24,Dj Assad,Addicted,2012,H,France
2012-07-20,22H31,Flo Rida,Whistle,2012,H,USA
2012-07-20,22H40,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-20,22H50,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-20,23H03,Pitbull,Back In Time,2012,H,USA
2012-07-20,23H23,David Guetta,Metropolis,2012,H,France
2012-07-20,23H23,Katy Perry,Wide Awake,2012,F,USA
2012-07-20,23H29,Dry,Ma Melodie,2012,H,France
2012-07-21,06H02,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-21,06H05,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-21,06H08,Rihanna,Russian Roulette,2009,F,USA
2012-07-21,06H12,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-21,06H21,Flo Rida,Whistle,2012,H,USA
2012-07-21,06H25,Superbus,A La Chaine,2012,Groupe,France
2012-07-21,06H28,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-21,06H35,Ocean Drive,Because,2009,Groupe,France
2012-07-21,06H40,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-21,06H46,Sean Paul,Touch The Sky,2012,H,Jamaique
2012-07-21,06H49,Dry,Ma Melodie,2012,H,France
2012-07-21,06H54,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-21,07H01,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-21,07H02,Justin Nozuka,Heartless (promesse),2010,H,USA
2012-07-21,07H06,We Are Me,We Gon' Party,2012,Groupe,France
2012-07-21,07H10,Maroon 5,Payphone,2012,Groupe,USA
2012-07-21,07H18,Matt Houston,Positif,2012,H,France
2012-07-21,07H18,Owl City,Good Time,2012,H,USA
2012-07-21,07H28,Shy'm,Je Sais,2010,F,France
2012-07-21,07H31,Birdy,Skinny Love,2008,F,USA
2012-07-21,07H37,Khaled,C'est La Vie,2012,H,Algerie
2012-07-21,07H48,Agnes,Release Me,2008,F,Suede
2012-07-21,07H52,Youssoupha,Dreamin,2012,H,France
2012-07-21,07H56,Tacabro,Tacata,2012,Groupe,Italie
2012-07-21,08H02,Leslie,Des Mots Invincibles,2012,F,France
2012-07-21,08H03,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-21,08H06,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-21,08H09,Shakira,Addicted To You,2012,F,Colombie
2012-07-21,08H13,Kenza Farah,Quelque Part,2012,F,France
2012-07-21,08H23,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-21,08H27,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-21,08H27,Usher,Scream,2012,H,USA
2012-07-21,08H30,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-21,08H37,Ocean Drive,Some People,2009,Groupe,France
2012-07-21,08H40,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-21,08H51,Ivyrise,Line Up The Stars,2012,Groupe,Angleterre
2012-07-21,08H55,Shy'm,Et Alors !,2012,F,France
2012-07-21,09H02,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-21,09H03,Maroon 5,Payphone,2012,Groupe,USA
2012-07-21,09H06,Dry,Ma Melodie,2012,H,France
2012-07-21,09H10,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-21,09H14,Jenifer,Sur Le Fil,2012,F,France
2012-07-21,09H21,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-21,09H33,Birdy,Skinny Love,2008,F,USA
2012-07-21,09H33,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-21,09H35,Mika,Elle Me Dit,2011,H,Angleterre
2012-07-21,09H38,Flo Rida,Whistle,2012,H,USA
2012-07-21,09H52,Dj Antoine,Ma Cherie,2011,H,Suisse
2012-07-21,10H00,David Guetta,Metropolis,2012,H,France
2012-07-21,10H02,Maroon 5,This Love,2004,Groupe,USA
2012-07-21,10H06,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-21,10H09,Matt Houston,Positif,2012,H,France
2012-07-21,10H16,Ellie Goulding,Lights,2011,F,Angleterre
2012-07-21,10H24,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-21,10H28,Kelly Clarkson,Stronger,2012,F,USA
2012-07-21,10H32,Will i Am,This Is Love,2012,H,USA
2012-07-21,10H46,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-21,10H49,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-21,10H53,Rihanna,Te Amo,2010,F,USA
2012-07-21,10H56,Shaka Ponk,Let's Bang,2012,Groupe,France
2012-07-21,11H00,Usher,Scream,2012,H,USA
2012-07-21,11H04,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-21,11H07,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-21,11H11,Superbus,A La Chaine,2012,Groupe,France
2012-07-21,11H18,Lady Gaga,Bad Romance,2009,F,USA
2012-07-21,11H27,Birdy,Skinny Love,2008,F,USA
2012-07-21,11H32,Martin Solveig,The Night Out,2011,H,France
2012-07-21,11H32,Sexion D'assaut,Ma Direction,2012,Groupe,France
2012-07-21,11H36,Maroon 5,Payphone,2012,Groupe,USA
2012-07-21,11H45,Avicii,Levels,2011,H,Suede
2012-07-21,11H53,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-21,11H56,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-21,12H00,Basto,I Rave You,2012,H,Belgique
2012-07-21,12H03,Bruno Mars,Marry You,2011,H,USA
2012-07-21,12H07,Shakira,Addicted To You,2012,F,Colombie
2012-07-21,12H13,Katy Perry,Wide Awake,2012,F,USA
2012-07-21,12H13,Shy'm,Et Alors !,2012,F,France
2012-07-21,12H16,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-21,12H24,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-21,12H32,Jack Holiday,Children 2012,2012,H,Suisse
2012-07-21,12H32,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-21,12H35,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-21,12H46,Flo Rida,Whistle,2012,H,USA
2012-07-21,12H50,Owl City,Good Time,2012,H,USA
2012-07-21,12H54,Cascada,Summer Of Love,2012,Groupe,Allemagne
2012-07-21,12H57,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-21,13H00,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-21,13H03,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-21,13H10,Matt Houston,Positif,2012,H,France
2012-07-21,13H14,Suarez,Qu'est Ce Que J'aime Ca,2010,Groupe,Belgique
2012-07-21,13H18,Shaggy,Girls Just Wanna Have Fun,2012,H,Jamaique
2012-07-21,13H25,Birdy,Skinny Love,2008,F,USA
2012-07-21,13H28,Khaled,C'est La Vie,2012,H,Algerie
2012-07-21,13H31,Inna Modja,French Cancan,2011,F,Cameroun
2012-07-21,13H35,Dry,Ma Melodie,2012,H,France
2012-07-21,13H45,Dj Antoine,Ma Cherie,2011,H,Suisse
2012-07-21,13H48,Leslie,Des Mots Invincibles,2012,F,France
2012-07-21,13H51,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-21,13H57,Maroon 5,Payphone,2012,Groupe,USA
2012-07-21,14H04,We Are Me,We Gon' Party,2012,Groupe,France
2012-07-21,14H10,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-21,14H10,Elisa Tovati,Il Nous Faut,2011,F,France
2012-07-21,14H13,Katy Perry,Wide Awake,2012,F,USA
2012-07-21,14H17,Will i Am,This Is Love,2012,H,USA
2012-07-21,14H24,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-21,14H33,Jenifer,Sur Le Fil,2012,F,France
2012-07-21,14H33,Ocean Drive,Without You (perdue Sans,2009,Groupe,France
2012-07-21,14H36,Youssoupha,Dreamin,2012,H,France
2012-07-21,14H46,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-21,14H49,Pitbull,Back In Time,2012,H,USA
2012-07-21,14H53,M Pokora,Merci D'etre,2012,H,France
2012-07-21,14H56,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-21,15H00,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-21,15H03,Rihanna,Umbrella,2007,F,USA
2012-07-21,15H11,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-21,15H14,Shy'm,Et Alors !,2012,F,France
2012-07-21,15H18,The Wanted,Chasing The Sun,2012,Groupe,Angleterre
2012-07-21,15H29,Sexion D'assaut,Ma Direction,2012,Groupe,France
2012-07-21,15H31,Alex Ferrari,Bara Bara Bere Bere,2012,H,Bresil
2012-07-21,15H35,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-21,15H45,Usher,Scream,2012,H,USA
2012-07-21,15H48,Kenza Farah,Quelque Part,2012,F,France
2012-07-21,15H52,Beyonce,Sweet Dreams,2009,F,USA
2012-07-21,16H00,Dry,Ma Melodie,2012,H,France
2012-07-21,16H04,Shakira,Addicted To You,2012,F,Colombie
2012-07-21,16H07,Katy Perry,California Gurls,2010,F,USA
2012-07-21,16H10,Basto,I Rave You,2012,H,Belgique
2012-07-21,16H14,Flo Rida,Whistle,2012,H,USA
2012-07-21,16H25,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-21,16H29,Julian Perretta,Generation X,2012,H,Angleterre
2012-07-21,16H33,Rihanna,Where Have You Been,2012,F,USA
2012-07-21,16H36,Katy Perry,Wide Awake,2012,F,USA
2012-07-21,16H46,Matt Houston,Happy Birthday,2012,H,France
2012-07-21,16H50,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-21,16H57,Youssoupha,Dreamin,2012,H,France
2012-07-21,17H00,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-21,17H03,Superbus,A La Chaine,2012,Groupe,France
2012-07-21,17H07,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-21,17H11,Jay Z,Empire State Of Mind,2009,H,USA
2012-07-21,17H15,Owl City,Good Time,2012,H,USA
2012-07-21,17H17,Pitbull,Get It Started,2012,H,USA
2012-07-21,17H25,Birdy,Skinny Love,2008,F,USA
2012-07-21,17H31,Matt Houston,Positif,2012,H,France
2012-07-21,17H31,Stone & Van Linden,Summerbreeze,2011,Groupe,Allemagne
2012-07-21,17H35,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-21,17H45,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-21,17H52,Dj Assad,Addicted,2012,H,France
2012-07-21,17H59,Far East Movement,Live My Life,2012,Groupe,USA
2012-07-21,18H00,Jack Holiday,Children 2012,2012,H,Suisse
2012-07-21,18H04,Taio Cruz,Hangover,2011,H,Angleterre
2012-07-21,18H07,Rihanna,We Found Love,2011,F,USA
2012-07-21,18H11,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-21,18H14,Kid Cudi,Pursuit Of Happiness,2012,H,USA
2012-07-21,18H25,Calvin Harris,Let's Go,2012,H,Ecosse
2012-07-21,18H28,Flo Rida,Whistle,2012,H,USA
2012-07-21,18H32,David Guetta,Metropolis,2012,H,France
2012-07-21,18H32,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-21,18H35,Lylloo & Lorinda,Badam,2012,Groupe,Bresil
2012-07-21,18H41,Basto,Again And Again,2011,H,Belgique
2012-07-21,18H44,Lmfao,Sorry For Party Rocking,2012,Groupe,USA
2012-07-21,18H50,Global Deejays,Hardcore Vibes,2012,Groupe,Autriche
2012-07-21,18H54,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-21,19H00,Matt Houston,Positif,2012,H,France
2012-07-21,19H04,David Guetta,I Can Only Imagine,2012,H,France
2012-07-21,19H07,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-21,19H11,Pitbull,Back In Time,2012,H,USA
2012-07-21,19H14,Cascada,Summer Of Love,2012,Groupe,Allemagne
2012-07-21,19H18,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-21,19H29,Bob Sinclar,Fuck With You,2012,H,France
2012-07-21,19H29,Collectif Metisse,Z Dance,2012,Groupe,France
2012-07-21,19H32,Jennifer Lopez,Dance Again,2012,F,USA
2012-07-21,19H35,Gusttavo Lima,Balada,2012,H,Bresil
2012-07-21,19H42,Basto,Cloudbreaker,2012,H,Belgique
2012-07-21,19H46,Rihanna,Where Have You Been,2012,F,USA
2012-07-21,19H49,Nicki Minaj,Starships,2012,F,USA
2012-07-21,19H53,Michel Telo,Ai Se Eu Te Pego (nooossa,2011,H,Bresil
2012-07-21,19H57,Tacabro,Tacata,2012,Groupe,Italie
2012-07-22,06H06,Beyonce,Sweet Dreams,2009,F,USA
2012-07-22,06H06,Birdy,Skinny Love,2008,F,USA
2012-07-22,06H08,Basto,I Rave You,2012,H,Belgique
2012-07-22,06H12,Katy Perry,Wide Awake,2012,F,USA
2012-07-22,06H21,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-22,06H24,Kelly Clarkson,Stronger,2012,F,USA
2012-07-22,06H34,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-22,06H34,Youssoupha,Dreamin,2012,H,France
2012-07-22,06H38,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,06H43,Coldplay,Princess Of China,2012,Groupe,Angleterre
2012-07-22,06H47,Lary Lambert,Faut Qu'on Se Parle,2012,H,France
2012-07-22,06H51,Enrique Iglesias,Tired Of Being Sorry,2007,H,Espagne
2012-07-22,06H56,Khaled,C'est La Vie,2012,H,Algerie
2012-07-22,07H00,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-22,07H02,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-22,07H06,Elisa Tovati,Il Nous Faut,2011,F,France
2012-07-22,07H10,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-22,07H13,David Guetta,Metropolis,2012,H,France
2012-07-22,07H17,Dj Mam's,Zumba He Zumba Ha,2012,H,France
2012-07-22,07H26,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-22,07H26,Stromae,Alors On Danse,2009,H,Belgique
2012-07-22,07H35,Suarez,Qu'est Ce Que J'aime Ca,2010,Groupe,Belgique
2012-07-22,07H44,Ocean Drive,Without You (perdue Sans,2009,Groupe,France
2012-07-22,07H47,Superbus,A La Chaine,2012,Groupe,France
2012-07-22,07H52,Shy'm,Et Alors !,2012,F,France
2012-07-22,07H56,Sonia Y Selena,Yo Quiero Bailar,2001,Groupe,Espagne
2012-07-22,07H59,Birdy,Skinny Love,2008,F,USA
2012-07-22,08H02,Matt Houston,Positif,2012,H,France
2012-07-22,08H05,Maroon 5,Payphone,2012,Groupe,USA
2012-07-22,08H09,We Are Me,We Gon' Party,2012,Groupe,France
2012-07-22,08H13,Paris Africa,Des Ricochets,2011,Groupe,France
2012-07-22,08H26,Dj Antoine,Ma Cherie,2011,H,Suisse
2012-07-22,08H29,Youssoupha,Dreamin,2012,H,France
2012-07-22,08H35,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-22,08H39,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,08H50,Jenifer,Sur Le Fil,2012,F,France
2012-07-22,08H58,Emeli Sande,next to me        1,2012,F,Inconnu
2012-07-22,09H01,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-22,09H02,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-22,09H06,Jali,Un Jour Ou L'autre,2011,H,Belgique
2012-07-22,09H10,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-22,09H14,Tal,Le Sens De La Vie,2012,F,France
2012-07-22,09H17,Owl City,Good Time,2012,H,USA
2012-07-22,09H28,Shakira,Addicted To You,2012,F,Colombie
2012-07-22,09H31,Ivyrise,Line Up The Stars,2012,Groupe,Angleterre
2012-07-22,09H34,Agnes,On And On ( On Se Donne ),2008,F,Suede
2012-07-22,09H37,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-22,09H44,Pitbull,Back In Time,2012,H,USA
2012-07-22,09H47,M Pokora,Merci D'etre,2012,H,France
2012-07-22,09H54,Alex Ferrari,Bara Bara Bere Bere,2012,H,Bresil
2012-07-22,09H58,Maroon 5,Payphone,2012,Groupe,USA
2012-07-22,10H00,Dry,Ma Melodie,2012,H,France
2012-07-22,10H04,David Guetta,Who's That Chick,2010,H,France
2012-07-22,10H07,Birdy,Skinny Love,2008,F,USA
2012-07-22,10H13,Khaled,C'est La Vie,2012,H,Algerie
2012-07-22,10H17,Dj Assad,Addicted,2012,H,France
2012-07-22,10H24,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,10H32,Kenza Farah,Quelque Part,2012,F,France
2012-07-22,10H32,Usher,Scream,2012,H,USA
2012-07-22,10H35,Katy Perry,Wide Awake,2012,F,USA
2012-07-22,10H44,Jack Holiday,Children 2012,2012,H,Suisse
2012-07-22,10H48,Leslie,Des Mots Invincibles,2012,F,France
2012-07-22,10H51,Gusttavo Lima,Balada,2012,H,Bresil
2012-07-22,10H54,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-22,10H58,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-22,11H00,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-22,11H04,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-22,11H08,Shy'm,Et Alors !,2012,F,France
2012-07-22,11H11,Daniel Powter,Bad Day,2005,H,Canada
2012-07-22,11H18,Basto,I Rave You,2012,H,Belgique
2012-07-22,11H25,Shakira,Addicted To You,2012,F,Colombie
2012-07-22,11H28,Youssoupha,Dreamin,2012,H,France
2012-07-22,11H31,Kelly Clarkson,Stronger,2012,F,USA
2012-07-22,11H34,Flo Rida,Whistle,2012,H,USA
2012-07-22,11H44,Nossa,Mas Que Nada,2012,Groupe,Espagne
2012-07-22,11H47,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-22,11H50,Nervo,You're Gonna Love Again,2012,Groupe,Australie
2012-07-22,11H57,Birdy,Skinny Love,2008,F,USA
2012-07-22,12H00,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-22,12H02,Dry,Ma Melodie,2012,H,France
2012-07-22,12H10,Will i Am,This Is Love,2012,H,USA
2012-07-22,12H13,Mika,Elle Me Dit,2011,H,Angleterre
2012-07-22,12H25,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,12H32,Katy Perry,Part Of Me,2012,F,USA
2012-07-22,12H32,Keen V,Ma Vie Au Soleil,2012,H,France
2012-07-22,12H35,Maroon 5,Payphone,2012,Groupe,USA
2012-07-22,12H45,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-22,12H49,Adele,Someone Like You,2011,F,Angleterre
2012-07-22,12H53,Matt Houston,Positif,2012,H,France
2012-07-22,12H58,Katy Perry,Wide Awake,2012,F,USA
2012-07-22,13H00,We Are Me,We Gon' Party,2012,Groupe,France
2012-07-22,13H04,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-22,13H07,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-22,13H11,Pitbull,Back In Time,2012,H,USA
2012-07-22,13H15,Lily Allen,22,2009,F,France
2012-07-22,13H18,Martin Solveig,The Night Out,2011,H,France
2012-07-22,13H25,Youssoupha,Dreamin,2012,H,France
2012-07-22,13H32,Ivyrise,Line Up The Stars,2012,Groupe,Angleterre
2012-07-22,13H32,Shakira,Addicted To You,2012,F,Colombie
2012-07-22,13H35,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-22,13H45,Superbus,Butterfly,2006,Groupe,France
2012-07-22,13H49,Matt Houston,Happy Birthday,2012,H,France
2012-07-22,13H52,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-22,13H59,Birdy,Skinny Love,2008,F,USA
2012-07-22,14H00,Agnes,Release Me,2008,F,Suede
2012-07-22,14H02,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-22,14H05,Dj Mam's,Zumba He Zumba Ha,2012,H,France
2012-07-22,14H09,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-22,14H15,Owl City,Good Time,2012,H,USA
2012-07-22,14H22,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,14H26,Marie Mai,Comme Avant,2011,F,Canada
2012-07-22,14H30,Jennifer Lopez,Goin In,2012,F,USA
2012-07-22,14H33,Dry,Ma Melodie,2012,H,France
2012-07-22,14H44,Leslie,Des Mots Invincibles,2012,F,France
2012-07-22,14H48,Usher,Scream,2012,H,USA
2012-07-22,14H51,Suarez,Qu'est Ce Que J'aime Ca,2010,Groupe,Belgique
2012-07-22,14H55,M Pokora,A Nos Actes Manques,2011,H,France
2012-07-22,14H58,Katy Perry,Wide Awake,2012,F,USA
2012-07-22,15H00,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-22,15H04,Gotye,Somebody That Use To Know,2012,H,Australie
2012-07-22,15H08,Maroon 5,Payphone,2012,Groupe,USA
2012-07-22,15H15,Khaled,C'est La Vie,2012,H,Algerie
2012-07-22,15H19,Elisa Tovati,Il Nous Faut,2011,F,France
2012-07-22,15H30,Superbus,A La Chaine,2012,Groupe,France
2012-07-22,15H33,Ocean Drive,Some People,2009,Groupe,France
2012-07-22,15H37,Youssoupha,Dreamin,2012,H,France
2012-07-22,15H46,Jenifer,Sur Le Fil,2012,F,France
2012-07-22,15H50,Gusttavo Lima,Balada,2012,H,Bresil
2012-07-22,15H53,Jali,Un Jour Ou L'autre,2011,H,Belgique
2012-07-22,15H56,Flo Rida,Whistle,2012,H,USA
2012-07-22,16H00,Birdy,Skinny Love,2008,F,USA
2012-07-22,16H03,Matt Houston,Positif,2012,H,France
2012-07-22,16H06,Nicki Minaj,Pound The Alarm,2012,F,USA
2012-07-22,16H10,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-22,16H17,Mika,Celebrate,2012,H,Angleterre
2012-07-22,16H17,Rihanna,Disturbia,2008,F,USA
2012-07-22,16H24,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,16H28,Shaka Ponk,My Name Is Stain,2012,Groupe,France
2012-07-22,16H35,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-22,16H47,Pitbull,Back In Time,2012,H,USA
2012-07-22,16H50,1789,Je Veux Le Monde,2012,Groupe,France
2012-07-22,16H57,Sexion D'assaut,Wati House,2012,Groupe,France
2012-07-22,17H00,Coldplay,Princess Of China,2012,Groupe,Angleterre
2012-07-22,17H04,Alex Ferrari,Bara Bara Bere Bere,2012,H,Bresil
2012-07-22,17H08,Maroon 5,Payphone,2012,Groupe,USA
2012-07-22,17H12,Corneille,Co-pilot,2012,Groupe,Canada
2012-07-22,17H19,David Guetta,Metropolis,2012,H,France
2012-07-22,17H27,Shakira,Addicted To You,2012,F,Colombie
2012-07-22,17H30,Kelly Clarkson,Stronger,2012,F,USA
2012-07-22,17H32,Dry,Ma Melodie,2012,H,France
2012-07-22,17H36,Usher,Scream,2012,H,USA
2012-07-22,17H44,Katy Perry,Wide Awake,2012,F,USA
2012-07-22,17H52,Global Deejays,Hardcore Vibes,2012,Groupe,Autriche
2012-07-22,17H55,Ellie Goulding,Lights,2011,F,Angleterre
2012-07-22,17H58,Jessie J,Laserlight,2012,F,Angleterre
2012-07-22,18H00,R.I.O.,Party Shaker,2012,Groupe,Allemagne,
2012-07-22,18H03,Sean Paul,Touch The Sky,2012,H,Jamaique
2012-07-22,18H07,Aura Dione,Friends,2012,F,Danemark
2012-07-22,18H13,David Guetta,I Can Only Imagine,2012,H,France
2012-07-22,18H17,Owl City,Good Time,2012,H,USA
2012-07-22,18H24,Jason De Rulo,Breathing,2011,H,USA
2012-07-22,18H34,Train,Drive By,2012,Groupe,USA
2012-07-22,18H44,Chris Brown,Don't Wake Me Up,2012,H,USA
2012-07-22,18H51,Katy Perry,Wide Awake,2012,F,USA
2012-07-22,18H53,Jennifer Lopez,Dance Again,2012,F,USA
2012-07-22,19H00,Pink,Blow Me (one Last Kiss),2012,F,USA
2012-07-22,19H03,Anelle Mona E,Are Young              0,2011,Groupe,USA
2012-07-22,19H10,Rihanna,Where Have You Been,2012,F,USA
2012-07-22,19H12,Daddy Yankee,Lovumba,2011,H,Porto Rico
2012-07-22,19H24,Of Monsters And Men,Little Talks,2011,Groupe,Islande
2012-07-22,19H24,Pitbull,Back In Time,2012,H,USA
2012-07-22,19H26,Loreen,Euphoria,2012,F,Suede
2012-07-22,19H30,Simple Plan,Summer Paradise,2012,Groupe,Canada
2012-07-22,19H33,Linkin Park,Burn It Down,2012,Groupe,USA
2012-07-22,19H43,Usher,Scream,2012,H,USA
2012-07-22,19H47,Maroon 5,Payphone,2012,Groupe,USA
2012-07-22,19H50,Carly Rae Jepsen,Call Me Maybe,2012,F,Canada
2012-07-22,19H54,Flo Rida,Whistle,2012,H,USA
2012-07-22,19H57,Selena Gomez,Love You Like A Love Song,2011,F,USA
2012-07-22,20H00,Youssoupha,Dreamin,2012,H,France
2012-07-22,20H03,Jose De Rico,Rayos Del Sol,2012,H,Espagne
2012-07-22,20H07,Mika,Celebrate,2012,H,Angleterre
2012-07-22,20H14,Basto,I Rave You,2012,H,Belgique
